hd,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode
Hardenbergh/Rhinelander Historic District,,,,,,,,,,,,,,,
Stuyvesant Heights Historic District,81,37,16,,,303,BKN03,32,36,36,8,56,25,Crown Heights North,11233
Bertine Block Historic District,,,,,,,,,,,,,,,
Boerum Hill Historic District,84,32;31,15,,,302,BKN02,38,39;33,33,10,52,26,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11217
Sunset Park South Historic District,72,40,20,,,307,BKS07,31;39,38,38,10,51,26,Sunset Park West,11220
Bay Ridge Parkway - Doctors' Row Historic District,,,,,,,,,,,,,,,
Manida Street Historic District,,,,,,,,,,,,,,,
Fort Totten Historic District,109,53,25,,,407,QE07,43,19,19,3,26,11,Ft. Totten-Bay Terrace-Clearview,11359
African Burial Ground & The Commons Historic District,1;5,1,2,,,101,MN01,15,1,1,10,66,27,SoHo-TriBeCa-Civic Center-Little Italy,10007
Albemarle-Kenmore Terraces Historic District,,,,,,,,,,,,,,,
Chester Court Historic District,,,,,,,,,,,,,,,
Audubon Terrace Historic District,,,,,,,,,,,,,,,
Brooklyn Academy of Music Historic District,88,57,15,MetroTech?BID,,302,BKN02,36,35,35,10,57,26,Fort Greene,11217
Brooklyn Heights Historic District,84,32,15;13,Atlantic Avenue BID;Montague Street?BID,,302,BKN02,38,33,33,10,52,26,Brooklyn Heights-Cobble Hill,11201
Carnegie Hill Historic District,,,,,,,,,,,,,,,
Expanded Carnegie Hill Historic District,19,10,2,,,108,MN08,13;12,5;4;8,4,12,73;68,28,Upper East Side-Carnegie Hill,10128
Chelsea Historic District,10,7,2,,,104,MN04,15,3,3,12,75,47,Hudson Yards-Chelsea-Flatiron-Union Square,10011
Chelsea Historic District Extension,,,,,,,,,,,,,,,
Clay Avenue Historic District,,,,,,,,,,,,,,,
Metropolitan Museum Historic District,,,,,,,,,,,,,,,
Treadwell Farm Historic District,,,,,,,,,,,,,,,
Henderson Place Historic District,,,,,,,,,,,,,,,
Carroll Gardens Historic District,76,32,15,,,306,BKS06,38,39,39,10,52,26,Carroll Gardens-Columbia Street-Red Hook,11231
Ridgewood North Historic District,104,45,24,,,405,QW05,46,30,30,7,37,12,Ridgewood,11385
Charlton-King-Vandam Historic District,,,,,,,,,,,,,,,
Clinton Hill Historic District,88,57;31,13,,,302,BKN02,36,35,35,7,57,25,Clinton Hill,11238;11205
Cobble Hill Historic District,76,32,15,Atlantic Avenue BID,,306,BKS06,38,39,39,10,52,26,Carroll Gardens-Columbia Street-Red Hook,11231;11201
Cobble Hill Historic District Extension,,,,,,,,,,,,,,,
Crown Heights North II Historic District,77,38,17,,,308,BKN08,32,35;36,35;36,9,43,20,Crown Heights North,11216;11213
Crown Heights North III Historic District,77,38,17,,,308,BKN08,32,36,36,9,43;56,20,Crown Heights North,11213
Alice and Agate Courts Historic District,,,,,,,,,,,,,,,
Fiske Terrace-Midwood Park Historic District,70,41,22,,,314,BKS14,35,45,45,9,42;44,21,Flatbush,11230
Douglaston Hill Historic District Amendment,,,,,,,,,,,,,,,
Douglaston Historic District,111,53,26,,,411,QE11,43,19,19,3,26,11,Douglas Manor-Douglaston-Little Neck,11363
Fillmore Place Historic District,,,,,,,,,,,,,,,
East 17th Street / Irving Place Historic District,,,,,,,,,,,,,,,
Fraunces Tavern Block Historic District,,,,,,,,,,,,,,,
Eberhard Faber Pencil Company Historic District,,,,,,,,,,,,,,,
DUMBO Historic District,84,32,13,DUMBO,,302,BKN02,36,33,33,10,52,26,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11201
East 10th Street Historic District,,,,,,,,,,,,,,,
Fort Greene Historic District,88,31,13,Myrtle Avenue Brooklyn Partnership,,302,BKN02,36,35,35,7,57,25;26,Fort Greene;Clinton Hill,11217;11238;11201;11205
Fieldston Historic District,50,27,10,,,208,BX08,21,11,11,15,81,33,North Riverdale-Fieldston-Riverdale,10471
Manhattan Avenue Historic District,,,,,,,,,,,,,,,
Fulton Ferry Historic District,84,32,13,DUMBO,,302,BKN02,36,33,33,10,52,26,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11201
Gansevoort Market Historic District,6,2,2,Meatpacking BID,,102,MN02,15,3,3,10,66,47,West Village,10014
Morris Avenue Historic District,,,,,,,,,,,,,,,
Greenwich Village Historic District Extension,,,,,,,,,,,,,,,
Greenwich Village Historic District Extension II,6,2,2,,,102,MN02,15,3,3,10,66,27,West Village,10014
Gramercy Park Historic District,13,6,2,,,106,MN06,14,2,2,12,74,59,Gramercy,10003
Central Park West - West 73rd - 74th Street Historic District,,,,,,,,,,,,,,,
Grand Concourse Historic District,44,14;17,7;9,161st Street?BID,,204,BX04,23;22,16,8;16,15,84;77,29;32,East Concourse-Concourse Village;West Concourse,10451;10456;10452
Central Park West - 76th Street Historic District,,,,,,,,,,,,,,,
West 71st Street Historic District,,,,,,,,,,,,,,,
Greenpoint Historic District,94,28,14,,,301,BKN01,30,33,33,7,50,59,Greenpoint,11222
Hamilton Heights Historic District,30,16,6,,,109,MN09,17,9;7,7,13,70;71,30,Hamilton Heights,10031
Hamilton Heights Historic District Extension,,,,,,,,,,,,,,,
Hamilton Heights/Sugar Hill Historic District,30,16;13,6,,,109,MN09,17,9,9,13,71,30,Hamilton Heights,10031
Hamilton Heights/Sugar Hill Historic District Extension,,,,,,,,,,,,,,,
Hamilton Heights/Sugar Hill Northeast Historic District,,,,,,,,,,,,,,,
Tribeca West Historic District,1,1;2,2,,,101,MN01,15,1,1,10,66,27,SoHo-TriBeCa-Civic Center-Little Italy,10013
Hamilton Heights/Sugar Hill Northwest Historic District,30,13,6,,,109,MN09,17,9;7,7;9,13,71,30,Hamilton Heights,10031;10032
Hunters Point Historic District,,,,,,,,,,,,,,,
Jumel Terrace Historic District,,,,,,,,,,,,,,,
East 25th Street Historic District,,,,,,,,,,,,,,,
Ladies' Mile Historic District,13,6;7,2,Flatiron/23rd Street Partnership,,105;104,MN05;MN04,15,2;3,2;3,10;12,74;66;75,28;47,Hudson Yards-Chelsea-Flatiron-Union Square,10010;10003;10011
Lamartine Place Historic District,,,,,,,,,,,,,,,
Murray Hill Historic District,,,,,,,,,,,,,,,
Longwood Historic District,41,26,8,,,202,BX02,23,17,8;17,14,84,32,Longwood,10455
Longwood Historic District Extension,,,,,,,,,,,,,,,
MacDougal-Sullivan Gardens Historic District,,,,,,,,,,,,,,,
Madison Square North Historic District,13,7,2,Flatiron/23rd Street Partnership,,105,MN05,15,3,2;3,12,75,28,Hudson Yards-Chelsea-Flatiron-Union Square,10010;10016;10001
Morris High School Historic District,42,26,9,,,203,BX03,22,17,16,15,79,32,Morrisania-Melrose,10456
Mott Haven East Historic District,,,,,,,,,,,,,,,
Mott Haven Historic District,,,,,,,,,,,,,,,
Mount Morris Park Historic District Extension,28,12,3;5,,,110,MN10,11,9,9,13,70,30,Central Harlem South,10026;10027
Murray Hill Historic District Extensions,,,,,,,,,,,,,,,
New York City Farm Colony- Seaview Hospital Historic District,122;121,22,31,,,502,SI02,51,50,50,11,63,24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis,10314
Noho East Historic District,,,,,,,,,,,,,,,
NoHo Historic District Extension,9,6,2,,,102,MN02,15,2,1,10,66,27,West Village,10012
Park Place Historic District,,,,,,,,,,,,,,,
St. Mark's Historic District,,,,,,,,,,,,,,,
St. Mark's Historic District Extension,,,,,,,,,,,,,,,
NoHo Historic District,9;6,6,2,NoHo BID,,102,MN02,15,2,1;2,10,66,27,West Village,10012;10003
Prospect Park South Historic District,70,41,17;22,,,314,BKS14,35,40,40,9,42;44,21,Flatbush,11218;11226
Riverdale Historic District,50,27,10,,,208,BX08,21,11,11,15,81,33,North Riverdale-Fieldston-Riverdale,10471
Riverside - West 105th Street Historic District,,,,,,,,,,,,,,,
Sniffen Court Historic District,,,,,,,,,,,,,,,
Park Slope Historic District Extension,78,48,15,,,306,BKS06,39,39,39,10,44,20,Park Slope-Gowanus,11215
Perry Avenue Historic District,,,,,,,,,,,,,,,
SoHo-Cast Iron Historic District,1;5,2,2,SoHo Broadway BID,,102,MN02,15,1,1,10,66,27,SoHo-TriBeCa-Civic Center-Little Italy,10013;10012
South Street Seaport Historic District Extension,,,,,,,,,,,,,,,
St. Nicholas Historic District,32,16,5,,,110,MN10,11,9,9,13,70,30,Central Harlem North-Polo Grounds,10030
Prospect Heights Historic District,78;77,38;57,13,,,308,BKN08,36;38,35,35,10,44;52,20;25,Prospect Heights,11217;11238
Dorrance Brooks Square Historic District,32,16,5,,,110,MN10,11,9,9,13,70,30,Central Harlem North-Polo Grounds,10030
Prospect Lefferts Gardens Historic District,71,38,17,,,309,BKN09,35;32,40,40,9,43,20,Prospect Lefferts Gardens-Wingate,11225
Weehawken Street Historic District,,,,,,,,,,,,,,,
Riverside-West End Historic District,24,11,3,,,107,MN07,16,6,6,12,67;69,47,Upper West Side,10024;10025
Riverside Drive-West 80th-81st Street Historic District,,,,,,,,,,,,,,,
St. Paul's Avenue-Stapleton Heights Historic District,120,21,31,,,501,SI01,51,49,49,11,61,23,Grymes Hill-Clifton-Fox Hills,10304
Stockholm Street Historic District,,,,,,,,,,,,,,,
Stuyvesant Square Historic District,13,6,2,,,106,MN06,14,2,2,10;12,74,59,Gramercy,10003
Sunnyside Gardens Historic District,108,49,30,,,402,QW02,41,26,26,7,37,12,Hunters Point-Sunnyside-West Maspeth,11104
West Chelsea Historic District,10,7,2,,,104,MN04,15,3,3,12,75,47,Hudson Yards-Chelsea-Flatiron-Union Square,10001
Tribeca East Historic District,1;5,1,2,Chinatown,,101,MN01,15,1,1,10,65;66,27,SoHo-TriBeCa-Civic Center-Little Italy,10013
Tribeca South Historic District,1,1,2,,,101,MN01,15,1,1,10,66,27,SoHo-TriBeCa-Civic Center-Little Italy,10013
Tribeca South Historic District Extension,,,,,,,,,,,,,,,
Tudor City Historic District,17,8,2,,,106,MN06,13,4,4,12,74,59,Turtle Bay-East Midtown,10017
Turtle Bay Gardens Historic District,,,,,,,,,,,,,,,
Wallabout Historic District,,,,,,,,,,,,,,,
Cambria Heights-227th Street Historic District,,,,,,,,,,,,,,,
Cambria Heights-222nd Street Historic District,,,,,,,,,,,,,,,
West End - Collegiate Historic District,20,11,3,,,107,MN07,16,6,6,12,67,47,Upper West Side,10023;10024
Bedford Historic District,79,57,13,Bed-Stuy Gateway?BID,,303,BKN03,32,36,36,8,57;56,25,Bedford,11216
Melrose Parkside Historic District,,,,,,,,,,,,,,,
Ditmas Park Historic District,70,41,22,,,314,BKS14,35,40,40,9,42,21,Flatbush,11226
Douglaston Hill Historic District,,,,,,,,,,,,,,,
East Village / Lower East Side Historic District,9,4,1,,,103,MN03,14,2,2,10,66,27,East Village,10003
Central Ridgewood Historic District,104,51,24,,,405,QW05,46,30,30;34,7,37,12,Ridgewood,11385
Upper West Side/Central Park West Historic District,20;24,9;11,3,Columbus Avenue BID,,107,MN07,15;16,6,6,12,75;67;69,47,Lincoln Square;Upper West Side,10023;10024;10025
Addisleigh Park Historic District,113,50,29,,,412,QE12,44,27,27,5,29,14,St. Albans,11434;11433
Park Avenue Historic District,19,10,2,,,108,MN08,13,4,4,12,73,28,Upper East Side-Carnegie Hill,10128
Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District,81,37,16,,,303,BKN03,32,36,36,8,56,25,Crown Heights North;Stuyvesant Heights,11233
SoHo-Cast Iron Historic District Extension,5,2,2,,,102,MN02,15,1,1,10,65,27,SoHo-TriBeCa-Civic Center-Little Italy,10013
Greenwich Village Historic District,6,2;6,2,Village Alliance BID;Meatpacking BID,,102,MN02,15,2;3,1;2;3,10,66,27;47,West Village,10003;10014;10011
Jackson Heights Historic District,115,46;49,24;30,82nd Street BID,,403,QW03,42,25;21,25;21,6;14,39;34,13,Jackson Heights,11372
Mount Morris Park Historic District,28,12,3;5,,,110,MN10,11,9,9,13,70;68,30,Central Harlem South,10026;10027
Ocean on the Park Historic District,,,,,,,,,,,,,,,
Park Slope Historic District,78,57;48,15;13,,,306,BKS06,36;39,39,39,10,44;52,20,Park Slope-Gowanus,11215;11217
Tribeca North Historic District,1,2,2,,,101,MN01,15,1,1,10,66,27,SoHo-TriBeCa-Civic Center-Little Italy,10013
Park Slope Historic District Extension II,78,57,13,,,306,BKS06,38,39,39,10,52,26,Park Slope-Gowanus,11217
Ridgewood South Historic District,104,51;45,24,,,405,QW05,46,30;34,34,7,37,18;12,Ridgewood,11385
Riverside-West End Historic Distric Extension I,20,11,3,,,107,MN07,16,6,6,12,67,47,Upper West Side,10024
Riverside-West End Historic District Extension II,24,11,3,,,107,MN07,16,6;7,6,12,69,47;30,Upper West Side,10025
South Street Seaport Historic District,1,1,2,,,101,MN01,15,1,1,10,65,27,Battery Park City-Lower Manhattan,10038
South Village Historic District,6,6,2,,,102,MN02,15,2,1;3,10,66,27,West Village,10012
Stone Street Historic District,,,,,,,,,,,,,,,
West End-Collegiate Historic District Extension,20,9;11,3,,,107,MN07,15;16,6,6,12,67,47,Lincoln Square;Upper West Side,10023
Gramercy Park Historic District Extension,,,,,,,,,,,,,,,
Vinegar Hill Historic District,,,,,,,,,,,,,,,
Borough Hall Skyscraper Historic District,,,,,,,,,,,,,,,
Governors Island Historic District,1,1,2,,,101,MN01,15,1,1,10,61,26,park-cemetery-etc-Manhattan,10004
Ellis Island Historic District,1,1,2,,,101,,15,1,1,10,61,26,park-cemetery-etc-Manhattan,10004
Sullivan-Thompson Historic District,1,2,2,,,102,MN02,15,1,3,10,66,27,SoHo-TriBeCa-Civic Center-Little Italy,10012
Audubon Park Historic District,33,13,6,,,112,MN12,17,7,7,13,71,31,Washington Heights South,10032
Morningside Heights Historic District,26,11,3,,,109,MN09,16,7,7,13,69,30,Morningside Heights,10025
Boerum Hill Historic District Extension,84,32,15,,,302,BKN02,38,39,33,10,52,26,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11217
Upper East Side Historic District Extension,,,,,,,,,,,,,,,
Crown Heights North Historic District,77,38,17,,,308,BKN08,32,36,36,9,43;56,20,Crown Heights North,11216;11213
Upper East Side Historic District,19,10,2,Madison Avenue BID,,108,MN08,13,4,4,12,73,28,Upper East Side-Carnegie Hill,10065;10021;10075
Central Sunset Park Historic District,72,40,15,,,307,BKS07,39,38,38,10,51,26,Sunset Park East,11220
Sunset Park 50th Street Historic District,,,,,,,,,,,,,,,
Sunset Park North Historic District,,,,,,,,,,,,,,,
St. George / New Brighton Historic District,120,21,31,,,501,SI01,51,49,49,11,61,23,West New Brighton-New Brighton-St. George,10301
Central Harlem West 130-132nd Street Historic District,32,16,5,,,110,MN10,11,9,9,13,70,30,Central Harlem North-Polo Grounds,10027
Park Terrace West-West 217th Street Historic District,,,,,,,,,,,,,,,
