ss,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,nta,zipcode,hd
10,100;106;101;113;105;103,47;51;54;50,27;29;28,Greater JFK,JFK,414;484;410;483;412;413,QE14;QE10;QE12;QE13,45;44,32;31;28;27,32;28;31;27,5,23;31;29;32;24,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;South Ozone Park;Hammels-Arverne-Edgemere;Far Rockaway-Bayswater;Lindenwood-Howard Beach;Ozone Park;Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Baisley Park;St. Albans;South Jamaica;Jamaica;park-cemetery-etc-Queens;Airport,11693;11692;11694;11420;11436;11691;11096;11414;11417;11430;11422;11413;11434;11419;11435;11433;11697,
14,113;102;105;103;107;112;110,51;54;50;53;52;46,27;29;28;25,Sutphin Boulevard BID;180th Street BID;Jamaica Center BID;165th Street BID,Jamaica,412;409;413;482;408;406;481,QW09;QE12;QE13;QE08;QW06,45;44;46;43,31;28;27;29;24;23,28;31;27;24;29;23,5;6,29;32;24;28;33;25;27;35,Rosedale;Springfield Gardens North;Laurelton;St. Albans;Cambria Heights;Richmond Hill;South Jamaica;Jamaica;Hollis;park-cemetery-etc-Queens;Kew Gardens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Forest Hills;Queens Village,11422;11413;11434;11418;11451;11435;11411;11412;11433;11429;11415;11432;11375;11367;11423;11428,Addisleigh Park Historic District;Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
16,107;110;111;109,50;53;52,29;28;26;25,Downtown Flushing;Bayside Village,,408;481;411;407,QE08;QE11;QE07,43,24;23;20;21;19,24;23;20;21;19,5;6;3,24;25;27;35;40;26,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Jamaica Estates-Holliswood;Fresh Meadows-Utopia;Oakland Gardens;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Flushing;Murray Hill,11432;11367;11366;11364;11365;11355;11368;11358;11354;11361;11360;11357,
36,45;49;47,15;27,11;10,,Eastchester,210;228;211;227;212,BX10;BX11;BX12,24;21,13;12;15;11,13;12;15;11,14;15;16,82;80;83;81,park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville;Woodlawn-Wakefield,10475;10469;10467;10466;10470,
20,70;71;78;77;79;66;72;67;81,41;38;57;48;31;58,17;15;13;18;16,Flatbush Avenue?BID;North Flatbush?BID;Bed-Stuy Gateway?BID;Park Slope 5th Avenue?BID,,314;309;308;355;312;307;306;317;303,BKS14;BKN09;BKN08;BKS12;BKS07;BKS06;BKN17;BKN03,36;39;38;35;32,40;35;36;39;41,40;35;36;39;38;41,9;10;8,42;43;44;57;51;52;58;55;56,Kensington-Ocean Parkway;Windsor Terrace;Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Prospect Heights;Sunset Park West;Park Slope-Gowanus;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village,11218;11226;11225;11215;11217;11238;11216;11232;11203;11213;11212;11233,Melrose Parkside Historic District;Ocean on the Park Historic District;Chester Court Historic District;Prospect Lefferts Gardens Historic District;Park Slope Historic District Extension;Park Slope Historic District;Park Slope Historic District Extension II;Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Park Place Historic District;Prospect Heights Historic District;Alice and Agate Courts Historic District
21,70;66;63;67,41;38;48;58;33,20;21;17;15;18;22,Flatbush-Nostrand Junction?BID;Church Avenue?BID;Flatbush Avenue?BID,Flatlands/Fairfield,314;312;318;317,BKS14;BKS12;BKS18;BKN17,35,44;45;40;39;42;46,44;45;40;39;46;41,9;10;8,48;42;43;44;58;59;41,Midwood;Kensington-Ocean Parkway;Windsor Terrace;Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Georgetown-Marine Park-Bergen Beach-Mill Basin;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village,11218;11210;11230;11226;11234;11229;11203,Fiske Terrace-Midwood Park Historic District;Ditmas Park Historic District;East 25th Street Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District
15,106;75;102;104;112,39;51;50;46;45,27;19;28;24,Woodhaven BID,Jamaica,410;305;409;405;482;406,QE10;QW09;BKN05;QW05;QW06,45;33;46,32;42;28;30;29;24,32;42;28;30;29,5;8;6;7,23;31;32;24;60;38;28;39;35;30;37,South Ozone Park;Lindenwood-Howard Beach;Ozone Park;Richmond Hill;East New York;park-cemetery-etc-Queens;Ridgewood;Woodhaven;Glendale;Kew Gardens;Forest Hills;Rego Park;Middle Village;Maspeth,11420;11414;11208;11417;11419;11418;11385;11416;11421;11415;11375;11374;11379;11378,
12,83;104;112;110;108;114;115,51;28;46;45;49,32;28;24;30,Myrtle Avenue DMA;Sunnyside Shines;Steinway Street BID,Ridgewood;Woodside;Maspeth;Long Island City,304;405;406;404;403;402;401,BKN04;QW05;QW06;QW04;QW02;QW01;QW03,34;46;42;41,32;37;30;34;24;25;26;22,37;30;34;29;25;26;22,6;7;14,54;38;28;39;30;37;36;34,park-cemetery-etc-Queens;Bushwick North;Ridgewood;Glendale;Rego Park;Elmhurst;Middle Village;Elmhurst-Maspeth;Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth;Astoria;Steinway;Jackson Heights,11237;11385;11374;11373;11379;11378;11377;11104;11101;11103;11105;11372;11370,Ridgewood South Historic District;Central Ridgewood Historic District;Ridgewood North Historic District;Stockholm Street Historic District;Sunnyside Gardens Historic District
11,105;103;107;110;111;114;115;109,54;50;53;52;49,29;28;26;25;30;7,,Jamaica;Astoria,412;413;408;481;403;411;401;480;407,QE12;QE13;QE08;QE11;QW01;QW03;QE07,45;44;42;43;41;23,27;24;23;20;22;21;19,27;24;23;20;22;21;19,5;6;3;14,29;32;24;33;25;27;35;40;36;34;26;85,Jamaica;Hollis;park-cemetery-etc-Queens;Airport;Briarwood-Jamaica Hills;Queens Village;Jamaica Estates-Holliswood;Bellerose;Oakland Gardens;Glen Oaks-Floral Park-New Hyde Park;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Flushing;Murray Hill;Steinway;Rikers Island;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11435;11433;11432;11423;11428;11427;11001;11426;11004;11364;11040;11368;11005;11362;11358;11354;11105;11370;11361;11363;11360;11359;11371;11356;11357,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District;Fort Totten Historic District
13,112;110;115,52;46;49,28;25;24;30,82nd Street BID,,406;481;404;403,QW06;QW04;QW03,46;42;43,24;25;22;21,29;25;22;21,6;14,39;35;30;34,park-cemetery-etc-Queens;Forest Hills;Rego Park;Elmhurst;Corona;North Corona;Elmhurst-Maspeth;Jackson Heights;East Elmhurst,11375;11374;11373;11368;11377;11372;11370;11369,Jackson Heights Historic District
18,90;94;75;83;104,57;31;35;39;51;44;37;28;45,14;19;23;32;24,Graham Avenue?BID;Grand Street?BID;Myrtle Avenue DMA,North Brooklyn;Maspeth,301;305;304;405,BKN01;BKN05;BKN04;QW05,30;34;46,33;32;37;34,33;37;30;34,7,52;50;54;53;38;37,Bedford;Williamsburg;North Side-South Side;Greenpoint;park-cemetery-etc-Brooklyn;East New York;park-cemetery-etc-Queens;Cypress Hills-City Line;Bushwick North;Ridgewood;Bushwick South;East Williamsburg,11206;11249;11211;11222;11208;11207;11237;11385;11221,Ridgewood South Historic District
31,44;33;52;46;34;50,17;13;27;19,9;6;10,Washington Heights BID;Fordham Road?BID;Kingsbridge?BID,,204;112;205;207;208,BX04;MN12;BX05;BX07;BX08,17;25;21,7;16;10;14;11,7;16;10;14;11,13;15,77;71;72;78;86;81,park-cemetery-etc-Manhattan;Washington Heights South;University Heights-Morris Heights;Kingsbridge Heights;Washington Heights North;Van Cortlandt Village;Marble Hill-Inwood;Spuyten Duyvil-Kingsbridge,10031;10032;10452;10033;10453;10040;10034;10468;10463,Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District;Park Terrace West-West 217th Street Historic District
27,1;7;5;9;6,1;4;2;6,1;2,Downtown Alliance BID;Chinatown;SoHo Broadway BID;Lower East Side BID;NoHo BID;Hudson Square;Village Alliance BID;14th Street BID,,101;103;102,MN01;MN03;MN02,14;15,1;2;3,1;2;3,10;12,61;74;65;66,Battery Park City-Lower Manhattan;Lower East Side;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;East Village;West Village;park-cemetery-etc-Manhattan,10041;10043;10265;10005;10260;10270;10286;10081;10271;10004;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10278;10009;10048;10281;10285;10282;10013;10002;10012;10003;10014;10011,Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;East 10th Street Historic District;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Noho East Historic District;East Village / Lower East Side Historic District;NoHo Historic District Extension;NoHo Historic District;St. Mark's Historic District;St. Mark's Historic District Extension;Sullivan-Thompson Historic District;Charlton-King-Vandam Historic District;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District
47,6;10;14;18;20;22;24,2;7;9;10;11,2;3,Village Alliance BID;Meatpacking BID;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID;Lincoln Square BID;Columbus Avenue BID;Columbus Amsterdam BID,,102;104;107;164,MN02;MN04;MN07,15;16,3;6;7,3;6;7,10;12,66;75;67;69,West Village;Hudson Yards-Chelsea-Flatiron-Union Square;Clinton;Lincoln Square;park-cemetery-etc-Manhattan;Upper West Side,10014;10011;10001;10018;10036;10019;10023;10069;00083;10024;10025,Greenwich Village Historic District;Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;Lamartine Place Historic District;West Chelsea Historic District;West 71st Street Historic District;West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II
